conversation_id,speaker_id,start_time,end_time,text,outcome
20756_1,0,1.25,6.03,"Hello, is this Mr. Harris? My name is Leah from Sunview Energy—how are you today?",no sale
20756_1,1,6.36,7.59,"Yes, speaking. I’m alright, thanks. Can I ask what this is about?",no sale
20756_1,0,7.98,12.84,"Of course, thanks for asking. I’m reaching out because we’re offering a new energy plan that could qualify you for a 15% discount on your electric bill. I wanted to see if I could quickly tell you about it.",no sale
20756_1,1,13.14,15.5,Alright… I guess I can listen for a minute.,no sale
20756_1,0,15.89,22.14,"Thank you! So, our new BrightSaver plan locks in your rate for twelve months—there’s no change in price based on the time of day, and there are no hidden fees. And for this month, you’d also get an automatic 15% off your supply charges.",no sale
20756_1,1,22.86,25.74,Is this something I have to switch providers for? I’m pretty happy with who I have now.,no sale
20756_1,0,26.21,31.85,"You would stay connected to your local utility for service and repairs, but Sunview would handle the billing and supply. The switch is very simple and risk-free—if you change your mind, you can cancel within 30 days.",no sale
20756_1,1,32.17,34.09,I see. Is there a contract or any penalties?,no sale
20756_1,0,34.61,39.75,"There's no early cancellation fee and no long-term contract; you can opt out any time. We just want people to enjoy lower, predictable pricing with no risk.",no sale
20756_1,1,40.15,43.06,"To be honest, I just re-upped my plan last month. I don’t like to change stuff if it’s working.",no sale
20756_1,0,43.78,47.89,"That’s completely understandable, Mr. Harris. Do you mind if I ask how much you’re paying per kilowatt-hour, just to make sure you’re on the best deal?",no sale
20756_1,1,48.31,50.48,"Actually, I’m not sure off the top of my head. I just check that the total seems right each month.",no sale
20756_1,0,51.17,56.06,"Totally fair. If you’re interested, I could email you a side-by-side comparison of our BrightSaver plan and your last bill—no obligation, just information.",no sale
20756_1,1,56.39,59.03,"No, that’s okay. If I decide to look into it, I’ll reach out myself.",no sale
20756_1,0,59.41,62.07,"Absolutely, I completely understand. Thank you for taking a minute to hear me out today, Mr. Harris.",no sale
59321_2,0,1.1,5.45,"Good afternoon, is this Mr. Harper?",no sale
59321_2,1,5.6,6.17,"Yes, this is he.",no sale
59321_2,0,6.6,13.85,"Hi, Mr. Harper. This is Sandra from Southwest Energy Partners calling to let you know about a new electricity plan we’re offering with exclusive discounts for current customers.",no sale
59321_2,1,14.22,16.58,"Ah, okay. Is this a sales call?",no sale
59321_2,0,16.65,22.71,I just want to briefly tell you about a no-commitment plan we have that could lower your monthly bill. Right now the average price in your area is about 16 cents per kilowatt-hour; we’re offering 13 cents with a guaranteed fixed rate.,no sale
59321_2,1,23.19,27.51,"I appreciate the information, but I recently renewed my contract with my current provider and I’m actually satisfied with what I pay.",no sale
59321_2,0,28.13,32.49,"Of course, I totally understand. Out of curiosity, what rate are you currently getting per kilowatt-hour?",no sale
59321_2,1,33.04,37.84,"If I recall correctly, it’s about 12 cents. They matched an offer I got last month, so I don’t see a reason to switch right now.",no sale
59321_2,0,38.1,42.87,"That’s actually a really competitive rate, I won’t lie. Usually we can’t beat 12 cents unless you’ve got some special promotional deal.",no sale
59321_2,1,43.31,45.49,"Yeah, that’s what they told me. So I’m good for now.",no sale
59321_2,0,45.92,50.26,"No problem at all—I just wanted to make sure you at least knew about our fixed-rate plan. If anything changes, would it be okay for me to send you an email with details?",no sale
59321_2,1,50.79,52.11,No thanks. I get enough emails as it is.,no sale
59321_2,0,52.47,56.8,"Alright, I won’t take up any more of your time! If you ever want to compare rates in the future, feel free to give us a call.",no sale
59321_2,1,57.03,58.87,Sounds good. Have a nice day.,no sale
18393_3,0,1.13,5.34,"Hello, may I speak with Mr. Evans? Hi, this is Monica from GreenLeaf Energy Solutions.",no sale
18393_3,1,5.76,7.66,"Hi Monica. Yes, this is Mr. Evans speaking.",no sale
18393_3,0,8.12,14.63,Thank you! The reason I'm calling today is to let you know about our new fixed-rate energy plan. It offers guaranteed savings and an exclusive discount for the first 12 months.,no sale
18393_3,1,15.01,18.47,"Oh, okay. I think I’ve heard similar offers before. What’s different about this one?",no sale
18393_3,0,19.14,25.43,"Great question. With our PeakPlus plan, you'll get 8% off your energy rate, no matter how much you use, and there's no long-term obligation. Plus, you can cancel at any time without penalty.",no sale
18393_3,1,25.85,29.21,"Hmm. To be honest, my energy bills are already pretty steady. What would my new rate actually be?",no sale
18393_3,0,29.81,35.72,"Based on your average usage, you'd likely see your bill drop by $9 to $12 a month. The rate would be 13.9 cents per kilowatt hour, which is better than the standard variable rate for your area.",no sale
18393_3,1,36.24,40.13,I see. I’m actually happy with my current provider. I just locked in a new rate for the next year.,no sale
18393_3,0,40.89,45.41,"Totally understandable, Mr. Evans. If you don't mind me asking, do you know if your plan charges any early termination fees?",no sale
18393_3,1,45.66,49.56,"Yes, there’s a small fee but I don’t plan on switching—my rate is locked, and they gave me a loyalty bonus, too.",no sale
18393_3,0,50.13,54.88,"Of course! I can see you've done your homework. If anything changes, our offer will be available all summer without any commitments. Would you like us to send some details by email?",no sale
18393_3,1,55.44,57.39,"No, thank you. I appreciate your time, but I’ll pass for now.",no sale
18393_3,0,57.96,61.32,"Thank you for your honesty! If something changes or you'd like a quote in the future, please don’t hesitate to call. Have a wonderful day.",no sale
10579_4,0,1.05,6.32,"Hi, may I speak with Mr. Henderson please?",no sale
10579_4,1,6.85,7.74,This is he.,no sale
10579_4,0,8.13,11.22,"Hello, Mr. Henderson! This is Melissa from Tower Energy Solutions. How are you today?",no sale
10579_4,1,11.62,12.35,"Hi Melissa, I'm doing fine, thank you.",no sale
10579_4,0,13.02,16.58,That's great to hear! The reason for my call is to let you know about a new energy plan with Tower that could help you save up to 12% on your electricity costs each month.,no sale
10579_4,1,17.01,18.98,"Hmm. That sounds good, but I'm generally happy with what I have now.",no sale
10579_4,0,19.39,25.59,"I completely understand, but just to let you know, there’s no service interruption and you’d keep the same electricity—just at a lower rate, with a fixed price for 12 months. There are also no cancellation fees.",no sale
10579_4,1,26.23,27.03,That does sound simple.,no sale
10579_4,0,27.42,32.17,"Right now, the average customer switching is seeing their bill drop by $15 a month—and we’re offering a $25 sign-up bonus if you enroll before the 20th.",no sale
10579_4,1,32.55,36.13,"Appreciate you letting me know, but honestly, I usually don't like to make these changes over the phone.",no sale
10579_4,0,36.45,41.17,"Absolutely, and you don’t have to commit today. If you’d like, I can send you a detailed email with the rates and benefits to review at your convenience.",no sale
10579_4,1,41.64,44.29,"No, that's okay, Melissa. I prefer to just keep it as is for now.",no sale
10579_4,0,44.78,47.66,"Of course. If you ever want to reconsider, just give us a call or visit our website. Thank you for your time, Mr. Henderson!",no sale
10579_4,1,48.2,49.56,Thank you. Have a nice day.,no sale
